Alias,sustainability_test,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11
Company8,Luxembourg,Finance,We have not yet taken any steps to reduce our carbon footprint,We do not currently have any measures in place for ensuring environmental sustainability of our products,We work with third-party companies to recycle our waste,We have a code of conduct that outlines our social responsibilities,We do not currently support the local community in any way,We have implemented policies to ensure diversity and inclusion in our hiring practices,We have diversified our revenue streams to reduce our dependence on a single source of income,We source materials and services from local businesses,We do not currently measure the economic impact of our operations
Company9,Belgium,Finance,We are currently working on developing renewable energy sources,We have implemented a recycling program for our products,We work with third-party companies to recycle our waste,We have a code of conduct that outlines our social responsibilities,We work with local organizations and charities to support community initiatives,We provide diversity and inclusion training for our employees,We do not have any measures in place for ensuring economic sustainability,We source materials and services from local businesses,We use key performance indicators (KPIs) to track the financial performance of our business
Company10,Italy,Retail,We have not yet taken any steps to reduce our carbon footprint,We have implemented a recycling program for our products,We have implemented a waste reduction program,We have implemented policies to ensure fair treatment of our employees and stakeholders,We do not currently support the local community in any way,We have implemented policies to ensure diversity and inclusion in our hiring practices,We have diversified our revenue streams to reduce our dependence on a single source of income,We provide job opportunities for members of the local community,We regularly conduct economic impact assessments of our operations
Company11,Slovenia,Automotive,We are currently working on developing renewable energy sources,We do not currently have any measures in place for ensuring environmental sustainability of our products,We work with third-party companies to recycle our waste,We do not have any measures in place for ensuring social responsibility,We provide job opportunities for members of the local community,We have implemented policies to ensure diversity and inclusion in our hiring practices,We have implemented measures to reduce our operating costs,We provide job opportunities for members of the local community,We regularly conduct economic impact assessments of our operations
Company12,Italy,Automotive,We have implemented energy-efficient practices and equipment,We use sustainable materials in our products,We work with third-party companies to recycle our waste,We have a code of conduct that outlines our social responsibilities,We do not currently support the local community in any way,We provide diversity and inclusion training for our employees,We have implemented measures to reduce our operating costs,We do not currently support the local economy in any way,We use key performance indicators (KPIs) to track the financial performance of our business
Company13,Cyprus,Healthcare,We have implemented energy-efficient practices and equipment,We have implemented a recycling program for our products,We do not have any waste management measures in place,We have implemented policies to ensure fair treatment of our employees and stakeholders,We work with local organizations and charities to support community initiatives,We do not currently have any measures in place for promoting diversity and inclusion,We have implemented measures to reduce our operating costs,We provide job opportunities for members of the local community,We regularly conduct economic impact assessments of our operations
Company14,Hungary,Consumer goods,We have not yet taken any steps to reduce our carbon footprint,We do not currently have any measures in place for ensuring environmental sustainability of our products,We do not have any waste management measures in place,We do not have any measures in place for ensuring social responsibility,We provide job opportunities for members of the local community,We do not currently have any measures in place for promoting diversity and inclusion,We do not have any measures in place for ensuring economic sustainability,We provide job opportunities for members of the local community,We use key performance indicators (KPIs) to track the financial performance of our business
Company15,Latvia,Retail,We have implemented energy-efficient practices and equipment,We do not currently have any measures in place for ensuring environmental sustainability of our products,We have implemented a waste reduction program,We have implemented policies to ensure fair treatment of our employees and stakeholders,We work with local organizations and charities to support community initiatives,We do not currently have any measures in place for promoting diversity and inclusion,We do not have any measures in place for ensuring economic sustainability,We provide job opportunities for members of the local community,We regularly conduct economic impact assessments of our operations
Company16,Croatia,Energy,We are currently working on developing renewable energy sources,We use sustainable materials in our products,We have implemented a waste reduction program,We do not have any measures in place for ensuring social responsibility,We provide job opportunities for members of the local community,We have implemented policies to ensure diversity and inclusion in our hiring practices,We have implemented measures to reduce our operating costs,We provide job opportunities for members of the local community,We do not currently measure the economic impact of our operations
Company17,Croatia,Finance,We have implemented energy-efficient practices and equipment,We use sustainable materials in our products,We have implemented a waste reduction program,We have implemented policies to ensure fair treatment of our employees and stakeholders,We work with local organizations and charities to support community initiatives,We do not currently have any measures in place for promoting diversity and inclusion,We do not have any measures in place for ensuring economic sustainability,We do not currently support the local economy in any way,We regularly conduct economic impact assessments of our operations
Company18,Estonia,Automotive,We have implemented energy-efficient practices and equipment,We use sustainable materials in our products,We do not have any waste management measures in place,We have a code of conduct that outlines our social responsibilities,We do not currently support the local community in any way,We provide diversity and inclusion training for our employees,We do not have any measures in place for ensuring economic sustainability,We do not currently support the local economy in any way,We regularly conduct economic impact assessments of our operations
Company19,Italy,Retail,We have implemented energy-efficient practices and equipment,We do not currently have any measures in place for ensuring environmental sustainability of our products,We work with third-party companies to recycle our waste,We do not have any measures in place for ensuring social responsibility,We work with local organizations and charities to support community initiatives,We provide diversity and inclusion training for our employees,We have implemented measures to reduce our operating costs,We do not currently support the local economy in any way,We use key performance indicators (KPIs) to track the financial performance of our business
Company20,Luxembourg,Energy,We have implemented energy-efficient practices and equipment,We have implemented a recycling program for our products,We do not have any waste management measures in place,We have a code of conduct that outlines our social responsibilities,We do not currently support the local community in any way,We do not currently have any measures in place for promoting diversity and inclusion,We have diversified our revenue streams to reduce our dependence on a single source of income,We do not currently support the local economy in any way,We do not currently measure the economic impact of our operations
Company21,Czech Republic,Energy,We have implemented energy-efficient practices and equipment,We do not currently have any measures in place for ensuring environmental sustainability of our products,We have implemented a waste reduction program,We have a code of conduct that outlines our social responsibilities,We provide job opportunities for members of the local community,We do not currently have any measures in place for promoting diversity and inclusion,We do not have any measures in place for ensuring economic sustainability,We do not currently support the local economy in any way,We do not currently measure the economic impact of our operations
Company22,Hungary,Healthcare,We are currently working on developing renewable energy sources,We have implemented a recycling program for our products,We work with third-party companies to recycle our waste,We have implemented policies to ensure fair treatment of our employees and stakeholders,We work with local organizations and charities to support community initiatives,We provide diversity and inclusion training for our employees,We have implemented measures to reduce our operating costs,We provide job opportunities for members of the local community,We use key performance indicators (KPIs) to track the financial performance of our business
Company23,Latvia,Finance,We are currently working on developing renewable energy sources,We use sustainable materials in our products,We have implemented a waste reduction program,We do not have any measures in place for ensuring social responsibility,We do not currently support the local community in any way,We do not currently have any measures in place for promoting diversity and inclusion,We have diversified our revenue streams to reduce our dependence on a single source of income,We provide job opportunities for members of the local community,We use key performance indicators (KPIs) to track the financial performance of our business
Company24,Romania,Energy,We have implemented energy-efficient practices and equipment,We use sustainable materials in our products,We do not have any waste management measures in place,We have implemented policies to ensure fair treatment of our employees and stakeholders,We provide job opportunities for members of the local community,We provide diversity and inclusion training for our employees,We have implemented measures to reduce our operating costs,We provide job opportunities for members of the local community,We regularly conduct economic impact assessments of our operations
Company25,Ireland,Healthcare,We have not yet taken any steps to reduce our carbon footprint,We have implemented a recycling program for our products,We work with third-party companies to recycle our waste,We do not have any measures in place for ensuring social responsibility,We do not currently support the local community in any way,We do not currently have any measures in place for promoting diversity and inclusion,We have diversified our revenue streams to reduce our dependence on a single source of income,We source materials and services from local businesses,We do not currently measure the economic impact of our operations
Company26,Lithuania,Healthcare,We have implemented energy-efficient practices and equipment,We use sustainable materials in our products,We work with third-party companies to recycle our waste,We have implemented policies to ensure fair treatment of our employees and stakeholders,We provide job opportunities for members of the local community,We do not currently have any measures in place for promoting diversity and inclusion,We do not have any measures in place for ensuring economic sustainability,We do not currently support the local economy in any way,We do not currently measure the economic impact of our operations
Company27,Sweden,Energy,We have not yet taken any steps to reduce our carbon footprint,We have implemented a recycling program for our products,We do not have any waste management measures in place,We have implemented policies to ensure fair treatment of our employees and stakeholders,We do not currently support the local community in any way,We do not currently have any measures in place for promoting diversity and inclusion,We have implemented measures to reduce our operating costs,We source materials and services from local businesses,We regularly conduct economic impact assessments of our operations
Company28,Croatia,Technology,We are currently working on developing renewable energy sources,We use sustainable materials in our products,We do not have any waste management measures in place,We do not have any measures in place for ensuring social responsibility,We work with local organizations and charities to support community initiatives,We have implemented policies to ensure diversity and inclusion in our hiring practices,We have implemented measures to reduce our operating costs,We source materials and services from local businesses,We do not currently measure the economic impact of our operations
Company29,Luxembourg,Energy,We are currently working on developing renewable energy sources,We have implemented a recycling program for our products,We work with third-party companies to recycle our waste,We have implemented policies to ensure fair treatment of our employees and stakeholders,We provide job opportunities for members of the local community,We provide diversity and inclusion training for our employees,We have diversified our revenue streams to reduce our dependence on a single source of income,We source materials and services from local businesses,We do not currently measure the economic impact of our operations
Company30,Netherlands,Finance,We are currently working on developing renewable energy sources,We do not currently have any measures in place for ensuring environmental sustainability of our products,We do not have any waste management measures in place,We have implemented policies to ensure fair treatment of our employees and stakeholders,We provide job opportunities for members of the local community,We provide diversity and inclusion training for our employees,We have implemented measures to reduce our operating costs,We source materials and services from local businesses,We use key performance indicators (KPIs) to track the financial performance of our business
Company31,Austria,Consumer goods,We are currently working on developing renewable energy sources,We use sustainable materials in our products,We have implemented a waste reduction program,We do not have any measures in place for ensuring social responsibility,We provide job opportunities for members of the local community,We have implemented policies to ensure diversity and inclusion in our hiring practices,We have diversified our revenue streams to reduce our dependence on a single source of income,We provide job opportunities for members of the local community,We regularly conduct economic impact assessments of our operations
Company32,Spain,Finance,We have not yet taken any steps to reduce our carbon footprint,We do not currently have any measures in place for ensuring environmental sustainability of our products,We work with third-party companies to recycle our waste,We have implemented policies to ensure fair treatment of our employees and stakeholders,We work with local organizations and charities to support community initiatives,We do not currently have any measures in place for promoting diversity and inclusion,We do not have any measures in place for ensuring economic sustainability,We provide job opportunities for members of the local community,We regularly conduct economic impact assessments of our operations
Company33,Slovakia,Finance,We have implemented energy-efficient practices and equipment,We use sustainable materials in our products,We have implemented a waste reduction program,We have a code of conduct that outlines our social responsibilities,We do not currently support the local community in any way,We have implemented policies to ensure diversity and inclusion in our hiring practices,We have implemented measures to reduce our operating costs,We source materials and services from local businesses,We use key performance indicators (KPIs) to track the financial performance of our business
Company34,Czech Republic,Technology,We have implemented energy-efficient practices and equipment,We have implemented a recycling program for our products,We have implemented a waste reduction program,We have implemented policies to ensure fair treatment of our employees and stakeholders,We provide job opportunities for members of the local community,We provide diversity and inclusion training for our employees,We have implemented measures to reduce our operating costs,We source materials and services from local businesses,We use key performance indicators (KPIs) to track the financial performance of our business
Company35,Finland,Retail,We have not yet taken any steps to reduce our carbon footprint,We have implemented a recycling program for our products,We work with third-party companies to recycle our waste,We do not have any measures in place for ensuring social responsibility,We provide job opportunities for members of the local community,We have implemented policies to ensure diversity and inclusion in our hiring practices,We do not have any measures in place for ensuring economic sustainability,We do not currently support the local economy in any way,We do not currently measure the economic impact of our operations
Company36,Malta,Automotive,We are currently working on developing renewable energy sources,We do not currently have any measures in place for ensuring environmental sustainability of our products,We do not have any waste management measures in place,We do not have any measures in place for ensuring social responsibility,We provide job opportunities for members of the local community,We have implemented policies to ensure diversity and inclusion in our hiring practices,We have diversified our revenue streams to reduce our dependence on a single source of income,We source materials and services from local businesses,We regularly conduct economic impact assessments of our operations
Company37,Austria,Consumer goods,We have not yet taken any steps to reduce our carbon footprint,We use sustainable materials in our products,We have implemented a waste reduction program,We have implemented policies to ensure fair treatment of our employees and stakeholders,We provide job opportunities for members of the local community,We have implemented policies to ensure diversity and inclusion in our hiring practices,We have diversified our revenue streams to reduce our dependence on a single source of income,We provide job opportunities for members of the local community,We do not currently measure the economic impact of our operations
Company38,Poland,Retail,We have implemented energy-efficient practices and equipment,We have implemented a recycling program for our products,We do not have any waste management measures in place,We have implemented policies to ensure fair treatment of our employees and stakeholders,We work with local organizations and charities to support community initiatives,We have implemented policies to ensure diversity and inclusion in our hiring practices,We have implemented measures to reduce our operating costs,We source materials and services from local businesses,We do not currently measure the economic impact of our operations
Company39,Poland,Retail,We are currently working on developing renewable energy sources,We do not currently have any measures in place for ensuring environmental sustainability of our products,We have implemented a waste reduction program,We have a code of conduct that outlines our social responsibilities,We work with local organizations and charities to support community initiatives,We provide diversity and inclusion training for our employees,We have diversified our revenue streams to reduce our dependence on a single source of income,We provide job opportunities for members of the local community,We regularly conduct economic impact assessments of our operations
Company40,Estonia,Energy,We are currently working on developing renewable energy sources,We have implemented a recycling program for our products,We have implemented a waste reduction program,We do not have any measures in place for ensuring social responsibility,We provide job opportunities for members of the local community,We have implemented policies to ensure diversity and inclusion in our hiring practices,We have implemented measures to reduce our operating costs,We source materials and services from local businesses,We use key performance indicators (KPIs) to track the financial performance of our business
Company41,Denmark,Energy,We have not yet taken any steps to reduce our carbon footprint,We do not currently have any measures in place for ensuring environmental sustainability of our products,We have implemented a waste reduction program,We have implemented policies to ensure fair treatment of our employees and stakeholders,We work with local organizations and charities to support community initiatives,We do not currently have any measures in place for promoting diversity and inclusion,We do not have any measures in place for ensuring economic sustainability,We source materials and services from local businesses,We do not currently measure the economic impact of our operations
Company42,Romania,Technology,We have implemented energy-efficient practices and equipment,We use sustainable materials in our products,We do not have any waste management measures in place,We have a code of conduct that outlines our social responsibilities,We work with local organizations and charities to support community initiatives,We provide diversity and inclusion training for our employees,We have implemented measures to reduce our operating costs,We source materials and services from local businesses,We do not currently measure the economic impact of our operations
Company43,Greece,Finance,We have implemented energy-efficient practices and equipment,We have implemented a recycling program for our products,We work with third-party companies to recycle our waste,We have implemented policies to ensure fair treatment of our employees and stakeholders,We work with local organizations and charities to support community initiatives,We do not currently have any measures in place for promoting diversity and inclusion,We do not have any measures in place for ensuring economic sustainability,We provide job opportunities for members of the local community,We do not currently measure the economic impact of our operations
Company44,Cyprus,Energy,We have implemented energy-efficient practices and equipment,We have implemented a recycling program for our products,We work with third-party companies to recycle our waste,We have implemented policies to ensure fair treatment of our employees and stakeholders,We do not currently support the local community in any way,We provide diversity and inclusion training for our employees,We do not have any measures in place for ensuring economic sustainability,We provide job opportunities for members of the local community,We do not currently measure the economic impact of our operations
Company45,Czech Republic,Healthcare,We are currently working on developing renewable energy sources,We use sustainable materials in our products,We work with third-party companies to recycle our waste,We do not have any measures in place for ensuring social responsibility,We work with local organizations and charities to support community initiatives,We have implemented policies to ensure diversity and inclusion in our hiring practices,We have implemented measures to reduce our operating costs,We provide job opportunities for members of the local community,We regularly conduct economic impact assessments of our operations
Company46,Greece,Finance,We are currently working on developing renewable energy sources,We have implemented a recycling program for our products,We work with third-party companies to recycle our waste,We do not have any measures in place for ensuring social responsibility,We do not currently support the local community in any way,We provide diversity and inclusion training for our employees,We have diversified our revenue streams to reduce our dependence on a single source of income,We provide job opportunities for members of the local community,We use key performance indicators (KPIs) to track the financial performance of our business
Company47,Romania,Technology,We have not yet taken any steps to reduce our carbon footprint,We do not currently have any measures in place for ensuring environmental sustainability of our products,We work with third-party companies to recycle our waste,We have implemented policies to ensure fair treatment of our employees and stakeholders,We provide job opportunities for members of the local community,We have implemented policies to ensure diversity and inclusion in our hiring practices,We have diversified our revenue streams to reduce our dependence on a single source of income,We source materials and services from local businesses,We use key performance indicators (KPIs) to track the financial performance of our business
Company48,Bulgaria,Finance,We are currently working on developing renewable energy sources,We use sustainable materials in our products,We work with third-party companies to recycle our waste,We have a code of conduct that outlines our social responsibilities,We work with local organizations and charities to support community initiatives,We provide diversity and inclusion training for our employees,We do not have any measures in place for ensuring economic sustainability,We provide job opportunities for members of the local community,We use key performance indicators (KPIs) to track the financial performance of our business
Company49,Denmark,Technology,We are currently working on developing renewable energy sources,We have implemented a recycling program for our products,We have implemented a waste reduction program,We do not have any measures in place for ensuring social responsibility,We do not currently support the local community in any way,We have implemented policies to ensure diversity and inclusion in our hiring practices,We have diversified our revenue streams to reduce our dependence on a single source of income,We provide job opportunities for members of the local community,We regularly conduct economic impact assessments of our operations
Company50,Sweden,Healthcare,We have not yet taken any steps to reduce our carbon footprint,We do not currently have any measures in place for ensuring environmental sustainability of our products,We do not have any waste management measures in place,We have implemented policies to ensure fair treatment of our employees and stakeholders,We work with local organizations and charities to support community initiatives,We do not currently have any measures in place for promoting diversity and inclusion,We have diversified our revenue streams to reduce our dependence on a single source of income,We do not currently support the local economy in any way,We do not currently measure the economic impact of our operations
Company51,Belgium,Technology,We have not yet taken any steps to reduce our carbon footprint,We use sustainable materials in our products,We have implemented a waste reduction program,We do not have any measures in place for ensuring social responsibility,We work with local organizations and charities to support community initiatives,We provide diversity and inclusion training for our employees,We have implemented measures to reduce our operating costs,We source materials and services from local businesses,We use key performance indicators (KPIs) to track the financial performance of our business
Company52,Slovakia,Automotive,We have implemented energy-efficient practices and equipment,We have implemented a recycling program for our products,We work with third-party companies to recycle our waste,We have a code of conduct that outlines our social responsibilities,We work with local organizations and charities to support community initiatives,We have implemented policies to ensure diversity and inclusion in our hiring practices,We do not have any measures in place for ensuring economic sustainability,We source materials and services from local businesses,We use key performance indicators (KPIs) to track the financial performance of our business
Company53,Romania,Healthcare,We have not yet taken any steps to reduce our carbon footprint,We have implemented a recycling program for our products,We do not have any waste management measures in place,We do not have any measures in place for ensuring social responsibility,We do not currently support the local community in any way,We have implemented policies to ensure diversity and inclusion in our hiring practices,We have diversified our revenue streams to reduce our dependence on a single source of income,We provide job opportunities for members of the local community,We regularly conduct economic impact assessments of our operations
Company54,Denmark,Healthcare,We have implemented energy-efficient practices and equipment,We do not currently have any measures in place for ensuring environmental sustainability of our products,We work with third-party companies to recycle our waste,We have implemented policies to ensure fair treatment of our employees and stakeholders,We provide job opportunities for members of the local community,We have implemented policies to ensure diversity and inclusion in our hiring practices,We do not have any measures in place for ensuring economic sustainability,We source materials and services from local businesses,We do not currently measure the economic impact of our operations
Company55,Portugal,Technology,We are currently working on developing renewable energy sources,We use sustainable materials in our products,We have implemented a waste reduction program,We do not have any measures in place for ensuring social responsibility,We work with local organizations and charities to support community initiatives,We provide diversity and inclusion training for our employees,We do not have any measures in place for ensuring economic sustainability,We source materials and services from local businesses,We use key performance indicators (KPIs) to track the financial performance of our business
Company56,Ireland,Retail,We have not yet taken any steps to reduce our carbon footprint,We do not currently have any measures in place for ensuring environmental sustainability of our products,We do not have any waste management measures in place,We have implemented policies to ensure fair treatment of our employees and stakeholders,We work with local organizations and charities to support community initiatives,We do not currently have any measures in place for promoting diversity and inclusion,We do not have any measures in place for ensuring economic sustainability,We source materials and services from local businesses,We do not currently measure the economic impact of our operations
Company57,Austria,Retail,We have implemented energy-efficient practices and equipment,We have implemented a recycling program for our products,We have implemented a waste reduction program,We have implemented policies to ensure fair treatment of our employees and stakeholders,We work with local organizations and charities to support community initiatives,We do not currently have any measures in place for promoting diversity and inclusion,We do not have any measures in place for ensuring economic sustainability,We source materials and services from local businesses,We regularly conduct economic impact assessments of our operations
Company58,Greece,Consumer goods,We have implemented energy-efficient practices and equipment,We do not currently have any measures in place for ensuring environmental sustainability of our products,We work with third-party companies to recycle our waste,We have implemented policies to ensure fair treatment of our employees and stakeholders,We work with local organizations and charities to support community initiatives,We provide diversity and inclusion training for our employees,We have diversified our revenue streams to reduce our dependence on a single source of income,We do not currently support the local economy in any way,We regularly conduct economic impact assessments of our operations
Company59,Latvia,Healthcare,We have implemented energy-efficient practices and equipment,We have implemented a recycling program for our products,We do not have any waste management measures in place,We have implemented policies to ensure fair treatment of our employees and stakeholders,We do not currently support the local community in any way,We have implemented policies to ensure diversity and inclusion in our hiring practices,We have diversified our revenue streams to reduce our dependence on a single source of income,We do not currently support the local economy in any way,We do not currently measure the economic impact of our operations
Company60,Netherlands,Energy,We have not yet taken any steps to reduce our carbon footprint,We use sustainable materials in our products,We do not have any waste management measures in place,We do not have any measures in place for ensuring social responsibility,We work with local organizations and charities to support community initiatives,We have implemented policies to ensure diversity and inclusion in our hiring practices,We do not have any measures in place for ensuring economic sustainability,We source materials and services from local businesses,We use key performance indicators (KPIs) to track the financial performance of our business
Company61,Finland,Healthcare,We are currently working on developing renewable energy sources,We do not currently have any measures in place for ensuring environmental sustainability of our products,We work with third-party companies to recycle our waste,We do not have any measures in place for ensuring social responsibility,We provide job opportunities for members of the local community,We have implemented policies to ensure diversity and inclusion in our hiring practices,We have diversified our revenue streams to reduce our dependence on a single source of income,We do not currently support the local economy in any way,We do not currently measure the economic impact of our operations
Company62,Latvia,Automotive,We have implemented energy-efficient practices and equipment,We have implemented a recycling program for our products,We work with third-party companies to recycle our waste,We have a code of conduct that outlines our social responsibilities,We do not currently support the local community in any way,We do not currently have any measures in place for promoting diversity and inclusion,We have implemented measures to reduce our operating costs,We provide job opportunities for members of the local community,We regularly conduct economic impact assessments of our operations
Company63,Italy,Automotive,We are currently working on developing renewable energy sources,We use sustainable materials in our products,We work with third-party companies to recycle our waste,We have implemented policies to ensure fair treatment of our employees and stakeholders,We provide job opportunities for members of the local community,We have implemented policies to ensure diversity and inclusion in our hiring practices,We do not have any measures in place for ensuring economic sustainability,We provide job opportunities for members of the local community,We regularly conduct economic impact assessments of our operations
Company64,Austria,Consumer goods,We have implemented energy-efficient practices and equipment,We do not currently have any measures in place for ensuring environmental sustainability of our products,We do not have any waste management measures in place,We do not have any measures in place for ensuring social responsibility,We provide job opportunities for members of the local community,We have implemented policies to ensure diversity and inclusion in our hiring practices,We have diversified our revenue streams to reduce our dependence on a single source of income,We do not currently support the local economy in any way,We use key performance indicators (KPIs) to track the financial performance of our business
Company65,Malta,Consumer goods,We are currently working on developing renewable energy sources,We use sustainable materials in our products,We do not have any waste management measures in place,We do not have any measures in place for ensuring social responsibility,We provide job opportunities for members of the local community,We have implemented policies to ensure diversity and inclusion in our hiring practices,We have implemented measures to reduce our operating costs,We source materials and services from local businesses,We use key performance indicators (KPIs) to track the financial performance of our business
Company66,Cyprus,Consumer goods,We are currently working on developing renewable energy sources,We do not currently have any measures in place for ensuring environmental sustainability of our products,We do not have any waste management measures in place,We have a code of conduct that outlines our social responsibilities,We provide job opportunities for members of the local community,We provide diversity and inclusion training for our employees,We have diversified our revenue streams to reduce our dependence on a single source of income,We provide job opportunities for members of the local community,We regularly conduct economic impact assessments of our operations
Company67,Denmark,Healthcare,We have not yet taken any steps to reduce our carbon footprint,We do not currently have any measures in place for ensuring environmental sustainability of our products,We do not have any waste management measures in place,We do not have any measures in place for ensuring social responsibility,We provide job opportunities for members of the local community,We provide diversity and inclusion training for our employees,We have diversified our revenue streams to reduce our dependence on a single source of income,We provide job opportunities for members of the local community,We use key performance indicators (KPIs) to track the financial performance of our business
Company68,Austria,Consumer goods,We have not yet taken any steps to reduce our carbon footprint,We use sustainable materials in our products,We work with third-party companies to recycle our waste,We have implemented policies to ensure fair treatment of our employees and stakeholders,We work with local organizations and charities to support community initiatives,We provide diversity and inclusion training for our employees,We have implemented measures to reduce our operating costs,We source materials and services from local businesses,We use key performance indicators (KPIs) to track the financial performance of our business
Company69,France,Retail,We have not yet taken any steps to reduce our carbon footprint,We use sustainable materials in our products,We have implemented a waste reduction program,We have a code of conduct that outlines our social responsibilities,We work with local organizations and charities to support community initiatives,We do not currently have any measures in place for promoting diversity and inclusion,We do not have any measures in place for ensuring economic sustainability,We provide job opportunities for members of the local community,We use key performance indicators (KPIs) to track the financial performance of our business
